Nr okr.;TERYT;Powiat;L. obw.;Liczba wyborców;Otrzymane karty;Niewykorzystane karty;Wydane karty;Liczba wyborców głosujących przez pełnomocnika;Liczba wyborców głosujących na podstawie zaświadczenia;Pakiety wyborcze;Koperty zwrotne;Koperty  bez oświadczenia;Niepodpisane oświadczenie;Koperty zwrotne bez koperty na kartę do głosowania;Niezaklejona koperta na kartę do głosowania;Koperty na kartę do głosowania wrzucone do urny;Karty wyjęte z urny;Karty wyjęte z kopert na karty do głosowania;Karty nieważne;Karty ważne;Głosy nieważne;w tym: z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list;w tym: z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata;w tym: z powodu postawienia znaku „x” wyłącznie obok nazwiska kandydata z listy, której rejestracja została unieważniona;Głosy ważne;1 - Komitet Wyborczy Prawo i Sprawiedliwość;2 - Komitet Wyborczy Platforma Obywatelska RP;3 - Komitet Wyborczy Partia Razem;4 - Komitet Wyborczy KORWiN;5 - Komitet Wyborczy Polskie Stronnictwo Ludowe;6 - Koalicyjny Komitet Wyborczy Zjednoczona Lewica SLD+TR+PPS+UP+Zieloni;7 - Komitet Wyborczy Wyborców „Kukiz'15”;8 - Komitet Wyborczy Nowoczesna Ryszarda Petru;9 - Komitet Wyborczy Wyborców JOW Bezpartyjni;10 - Komitet Wyborczy Wyborców Zbigniewa Stonogi;11 - Komitet Wyborczy Wyborców  Ruch Społeczny Rzeczypospolitej Polskiej;12 - Komitet Wyborczy Wyborców Zjednoczeni dla Śląska;13 - Komitet Wyborczy Samoobrona;14 - Komitet Wyborczy Wyborców Grzegorza Brauna „Szczęść Boże!”;15 - Komitet Wyborczy Kongres Nowej Prawicy;16 - Komitet Wyborczy Wyborców Mniejszość Niemiecka;16 - Komitet Wyborczy Wyborców Obywatele do Parlamentu;;;;;
2;0265;Wałbrzych;72;91.890;70.797;29.208;41.588;16;175;7;6;-;-;-;-;6;41.585;6;-;41.585;1.023;708;299;-;40.562;10.618;16.774;1.472;1.593;414;3.831;3.121;2.400;339;;;;;;;;;;;;;
5;0401;aleksandrowski;55;45.984;34.475;13.665;20.810;14;1.194;10;10;1;-;-;1;8;20.816;8;-;20.816;784;586;179;-;20.032;7.440;4.744;658;628;1.363;2.292;1.730;1.048;;85;;;44;;;;;;;;;
5;0402;brodnicki;60;60.782;46.402;19.879;26.523;16;172;1;1;-;-;-;-;1;26.517;1;1;26.516;1.045;720;261;-;25.471;9.047;4.734;658;721;3.957;1.874;3.277;1.090;;86;;;27;;;;;;;;;
4;0403;bydgoski;99;86.346;65.091;23.204;41.885;23;189;21;21;2;-;-;-;19;41.901;19;1;41.900;1.118;781;301;-;40.782;11.197;11.987;1.633;2.165;2.283;3.447;3.763;3.989;;318;;;;;;;;;;;;
5;0404;chełmiński;48;40.303;31.045;14.432;16.613;7;57;8;8;-;-;-;-;8;16.620;8;1;16.619;619;419;185;-;16.000;4.998;4.579;572;610;1.161;1.456;1.486;996;;100;;;42;;;;;;;;;
5;0405;golubsko-dobrzyński;32;36.044;27.432;12.689;14.742;11;75;10;10;-;-;-;-;10;14.753;10;-;14.753;549;411;132;-;14.204;5.351;2.782;443;457;1.719;1.356;1.447;507;;80;;;62;;;;;;;;;
5;0406;grudziądzki;42;31.294;23.967;12.213;11.754;6;38;6;6;-;-;-;-;6;11.759;6;-;11.759;409;310;93;-;11.350;3.955;2.620;409;509;1.086;938;1.043;549;;72;;;169;;;;;;;;;
4;0407;inowrocławski;145;131.651;100.469;41.911;58.557;31;570;16;13;-;-;-;-;13;58.566;13;-;58.566;1.974;1.558;393;-;56.592;17.758;16.434;2.089;2.025;3.905;6.485;4.452;3.067;;377;;;;;;;;;;;;
5;0408;lipnowski;68;52.547;40.432;20.190;20.242;24;118;6;6;-;-;-;-;6;20.246;6;-;20.246;1.016;768;232;-;19.230;6.869;2.965;544;617;4.556;1.594;1.369;548;;128;;;40;;;;;;;;;
4;0409;mogileński;46;37.207;28.121;12.599;15.522;11;83;15;13;-;-;-;-;13;15.534;13;-;15.534;658;518;134;-;14.876;4.539;3.491;506;613;2.180;1.508;1.292;661;;86;;;;;;;;;;;;
